Username,Password,First_Name,Last_Name,Email,NumOfFinancialGoals,NumOfEducationalGoals,NumOfPhysicalGoals,NumOfRelationshipGoals,numOfTotalGoals
weird,1234,weird,weird,weird,0,0,0,0,0
test2,1234,test,test,test@gmail.com,0,0,0,0,0
test3,1234,test,test,test@email.com,0,0,0,0,0
test,1234,test,test,test@mail.com,0,0,0,0,0
yo,1234,yo,yo,yo,0,0,0,0,0
gaikwadabhishek,1234,Abhishek,Gaikwada,abishek.gaikwa@sjsu.edu,0,0,0,0,0
test1,1234,test,test,test,0,0,0,0,0
demo,1234,Demon,Slayer,demo.mail.com,3,0,0,0,4
lac,1234,lac,lac,random,5,2,2,7,23
username,1234,Kevin,Nguyen,email@email.com,0,0,0,0,0
